Time (s), INST BN VOLTS
0.317932, 6376.9365234375
0.3181926, 6797.8037109375
0.3184532, 7106.794921875
0.3187138, 7586.26416015625
0.3189744, 7895.2548828125
0.319235, 8103.02490234375
0.3194956, 8145.64453125
0.3197562, 8177.60888671875
0.3200168, 8214.9013671875
0.3202774, 8103.02490234375
0.320538, 7879.27294921875
0.3207986, 7570.28173828125
0.3210592, 7197.361328125
0.3213198, 6733.87451171875
0.3215804, 6195.80419921875
0.321841, 5641.7509765625
0.3221016, 5130.3173828125
0.3223622, 4581.591796875
0.3226228, 3952.95483398438
0.3228834, 3287.02587890625
0.323144, 2519.87548828125
0.3234046, 1672.81384277344
0.3236652, 799.114868164063
0.3239258, -74.5840530395508
0.3241864, -863.044067382813
0.324447, -1619.53955078125
0.3247076, -2280.14111328125
0.3249682, -2983.3623046875
0.3252288, -3670.60107421875
0.3254894, -4432.423828125
0.32575, -5119.66259765625
0.3260106, -5748.2998046875
0.3262712, -6291.69775390625
0.3265318, -6723.2197265625
0.3267924, -7074.83056640625
0.327053, -7501.02490234375
0.3273136, -7879.27294921875
0.3275742, -8161.62646484375
0.3278348, -8209.5732421875
0.3280954, -8188.263671875
0.328356, -8182.9365234375
0.3286166, -8108.3525390625
0.3288772, -7852.6357421875
0.3291378, -7506.3525390625
0.3293984, -7106.794921875
0.329659, -6696.58251953125
0.3299196, -6169.1669921875
0.3301802, -5588.4765625
0.3304408, -5013.1142578125
0.3307014, -4432.423828125
0.330962, -3798.45947265625
0.3312226, -3105.89306640625
0.3314832, -2333.41552734375
0.3317438, -1550.28283691406
0.3320044, -713.8759765625
0.332265, 106.548652648926
0.3325256, 895.008666992188
0.3327862, 1598.22973632813
0.3330468, 2312.10571289063
0.3333074, 3036.63647460938
0.333568, 3761.16748046875
0.3338286, 4480.37060546875
0.3340892, 5204.9013671875
0.3343498, 5849.52099609375
0.3346104, 6414.22900390625
0.334871, 6808.458984375
0.3351316, 7106.794921875
0.3353922, 7426.44091796875
0.3356528, 7703.46728515625
0.3359134, 7964.51171875
0.336174, 8103.02490234375
0.3364346, 8161.62646484375
0.3366952, 8182.9365234375
0.3369558, 8081.71533203125
0.3372164, 7857.962890625
0.337477, 7527.662109375
0.3377376, 7128.10498046875
0.3379982, 6648.6357421875
0.3382588, 6131.875
0.3385194, 5604.458984375
0.33878, 5066.38818359375
0.3390406, 4496.35302734375
0.3393012, 3878.37084960938
0.3395618, 3180.47729492188
0.3398224, 2423.98168945313
0.340083, 1582.24743652344
0.3403436, 724.530822753906
0.3406042, -101.221221923828
0.3408648, -905.663513183594
0.3411254, -1624.86694335938
0.341386, -2301.45092773438
0.3416466, -3009.99926757813
0.3419072, -3707.89306640625
0.3421678, -4448.40625
0.3424284, -5162.2822265625
0.342689, -5812.22900390625
0.3429496, -6360.95458984375
0.3432102, -6797.8037109375
0.3434708, -7117.44970703125
0.3437314, -7437.095703125
0.343992, -7724.77734375
0.3442526, -7964.51171875
0.3445132, -8097.697265625
0.3447738, -8140.31689453125
0.3450344, -8150.9716796875
0.345295, -8055.078125
0.3455556, -7831.32568359375
0.3458162, -7538.31689453125
0.3460768, -7192.0341796875
0.3463374, -6728.54736328125
0.346598, -6206.458984375
0.3468586, -5620.44140625
0.3471192, -5034.423828125
0.3473798, -4411.1142578125
0.3476404, -3739.85766601563
0.347901, -3047.29150390625
0.3481616, -2301.45092773438
0.3484222, -1523.64575195313
0.3486828, -703.221069335938
0.3489434, 106.548652648926
0.349204, 889.681213378906
0.3494646, 1630.1943359375
0.3497252, 2344.0703125
0.3499858, 3068.60107421875
0.3502464, 3787.80444335938
0.350507, 4522.990234375
0.3507676, 5247.52099609375
0.3510282, 5876.158203125
0.3512888, 6403.57373046875
0.3515494, 6813.7861328125
0.35181, 7122.77734375
0.3520706, 7485.04296875
0.3523312, 7788.70654296875
0.3525918, 8081.71533203125
0.3528524, 8246.865234375
0.353113, 8289.4853515625
0.3533736, 8273.5029296875
0.3536342, 8145.64453125
0.3538948, 7895.2548828125
0.3541554, 7575.60888671875
0.354416, 7186.70654296875
0.3546766, 6733.87451171875
0.3549372, 6227.7685546875
0.3551978, 5668.38818359375
0.3554584, 5109.0078125
0.355719, 4522.990234375
0.3559796, 3889.02587890625
0.3562402, 3196.45947265625
0.3565008, 2418.654296875
0.3567614, 1587.57495117188
0.357022, 745.840576171875
0.3572826, -85.2389221191406
0.3575432, -889.681213378906
0.3578038, -1619.53955078125
0.3580644, -2312.10571289063
0.358325, -3020.654296875
0.3585856, -3723.87524414063
0.3588462, -4464.388671875
0.3591068, -5178.2646484375
0.3593674, -5817.55615234375
0.359628, -6360.95458984375
0.3598886, -6792.4765625
0.3601492, -7133.43212890625
0.3604098, -7575.60888671875
0.3606704, -7911.2373046875
0.360931, -8161.62646484375
0.3611916, -8278.830078125
0.3614522, -8262.84765625
0.3617128, -8204.24609375
0.3619734, -8071.060546875
0.362234, -7836.6533203125
0.3624946, -7548.9716796875
0.3627552, -7223.99853515625
0.3630158, -6771.1669921875
0.3632764, -6270.38818359375
0.363537, -5695.025390625
