t,signal
0.068875,0.05525
0.069,0.098957
0.069125,0.14164
0.06925,0.18399
0.069375,0.22335
0.0695,0.2608
0.069625,0.2971
0.06975,0.33333
0.069875,0.37064
0.07,0.40871
0.070125,0.44711
0.07025,0.48484
0.070375,0.52236
0.0705,0.55777
0.070625,0.59149
0.07075,0.62412
0.070875,0.65552
0.071,0.68529
0.071125,0.71459
0.07125,0.74218
0.071375,0.76903
0.0715,0.79792
0.071625,0.82749
0.07175,0.85448
0.071875,0.87956
0.072,0.90342
0.072125,0.92843
0.07225,0.95596
0.072375,0.98471
0.0725,1.008
0.072625,1.0265
0.07275,1.0461
0.072875,1.0638
0.073,1.0736
0.073125,1.0786
0.07325,1.0817
0.073375,1.0854
0.0735,1.0892
0.073625,1.0922
0.07375,1.0948
0.073875,1.0971
0.074,1.0988
0.074125,1.0997
0.07425,1.1009
0.074375,1.1013
0.0745,1.1008
0.074625,1.0987
0.07475,1.0943
0.074875,1.0845
0.075,1.0686
0.075125,1.0496
0.07525,1.0285
0.075375,1.007
0.0755,0.98594
0.075625,0.96282
0.07575,0.93829
0.075875,0.91409
0.076,0.89084
0.076125,0.86651
0.07625,0.84095
0.076375,0.81478
0.0765,0.78997
0.076625,0.7636
0.07675,0.73219
0.076875,0.69623
0.077,0.65763
0.077125,0.618
0.07725,0.57919
0.077375,0.54037
0.0775,0.49667
0.077625,0.45928
0.07775,0.42414
0.077875,0.38519
0.078,0.34522
0.078125,0.30356
0.07825,0.26311
0.078375,0.22348
0.0785,0.18256
0.078625,0.13763
0.07875,0.089373
0.078875,0.041724
0.079,-0.0025946
0.079125,-0.045282
0.07925,-0.087289
0.079375,-0.12563
0.0795,-0.16192
0.079625,-0.19781
0.07975,-0.23438
0.079875,-0.27218
0.08,-0.31038
0.080125,-0.34939
0.08025,-0.38773
0.080375,-0.42545
0.0805,-0.46168
0.080625,-0.49594
0.08075,-0.52911
0.080875,-0.5595
0.081,-0.5875
0.081125,-0.61734
0.08125,-0.64562
0.081375,-0.67233
0.0815,-0.70108
0.081625,-0.72963
0.08175,-0.75703
0.081875,-0.78299
0.082,-0.80767
0.082125,-0.83295
0.08225,-0.85892
0.082375,-0.88747
0.0825,-0.91119
0.082625,-0.93002
0.08275,-0.94912
0.082875,-0.96645
0.083,-0.97719
0.083125,-0.98188
0.08325,-0.98514
0.083375,-0.98854
0.0835,-0.99214
0.083625,-0.9952
0.08375,-0.99772
0.083875,-0.99982
0.084,-1.0014
0.084125,-1.0025
0.08425,-1.0035
0.084375,-1.0036
0.0845,-1.003
0.084625,-1.0013
0.08475,-0.99622
0.084875,-0.98514
0.085,-0.96883
0.085125,-0.94986
0.08525,-0.93042
0.085375,-0.90996
0.0855,-0.88855
0.085625,-0.86544
0.08575,-0.84111
0.085875,-0.8182
0.086,-0.79448
0.086125,-0.76919
0.08625,-0.74282
0.086375,-0.71645
0.0865,-0.69225
0.086625,-0.66608
0.08675,-0.63508
0.086875,-0.5994
0.087,-0.56092
0.087125,-0.52089
0.08725,-0.48167
0.087375,-0.4436
0.0875,-0.40261
0.087625,-0.36421
0.08775,-0.32649
0.087875,-0.28693
0.088,-0.24736
0.088125,-0.2059
0.08825,-0.16457
0.088375,-0.12461
0.0885,-0.084638
0.088625,-0.041203
0.08875,0.0067177
0.088875,0.054503
0.089,0.098685
0.089125,0.1413
0.08925,0.1829
0.089375,0.2226
0.0895,0.25944
0.089625,0.29513
0.08975,0.33129
0.089875,0.36908
0.09,0.40721
0.090125,0.44562
0.09025,0.48355
0.090375,0.52073
0.0905,0.55621
0.090625,0.58952
0.09075,0.62153
0.090875,0.65232
0.091,0.68325
0.091125,0.71343
0.09125,0.74198
0.091375,0.76951
0.0915,0.79874
0.091625,0.82797
0.09175,0.85373
0.091875,0.8784
0.092,0.9026
0.092125,0.92863
0.09225,0.95562
0.092375,0.98356
0.0925,1.0067
0.092625,1.0246
0.09275,1.0443
0.092875,1.0628
0.093,1.0734
0.093125,1.0787
0.09325,1.082
0.093375,1.0857
0.0935,1.0894
0.093625,1.0923
0.09375,1.0951
0.093875,1.0973
0.094,1.0986
0.094125,1.0997
0.09425,1.1006
0.094375,1.1007
0.0945,1.1003
0.094625,1.0982
0.09475,1.0932
0.094875,1.0827
0.095,1.067
0.095125,1.0484
0.09525,1.0289
0.095375,1.008
0.0955,0.98668
0.095625,0.96425
0.09575,0.94005
0.095875,0.91592
0.096,0.89186
0.096125,0.86732
0.09625,0.84176
0.096375,0.8158
0.0965,0.79085
0.096625,0.76414
0.09675,0.73253
0.096875,0.69685
0.097,0.65837
0.097125,0.61827
0.09725,0.57898
0.097375,0.54024
0.0975,0.49864
0.097625,0.46118
0.09775,0.4255
0.097875,0.38641
0.098,0.34577
0.098125,0.30457
0.09825,0.26413
0.098375,0.2243
0.0985,0.18386
0.098625,0.13981
0.09875,0.091208
0.098875,0.043151
0.099,-0.0017109
0.099125,-0.04399
0.09925,-0.086133
0.099375,-0.12556
0.0995,-0.16179
0.099625,-0.19761
0.09975,-0.23391
0.099875,-0.27143
0.1,-0.30949
0.10012,-0.34796
0.10025,-0.38603
0.10037,-0.42362
0.1005,-0.45992
0.10062,-0.49499
0.10075,-0.52836
0.10087,-0.55882
0.101,-0.58757
0.10112,-0.61795
0.10125,-0.64637
0.10137,-0.67206
0.1015,-0.69993
0.10162,-0.72868
0.10175,-0.7556
0.10187,-0.78136
0.102,-0.80637
0.10213,-0.83152
0.10225,-0.85769
0.10237,-0.88583
0.1025,-0.90949
0.10262,-0.92825
0.10275,-0.94762
0.10288,-0.96557
0.103,-0.97631
0.10312,-0.98106
0.10325,-0.98426
0.10337,-0.98793
0.1035,-0.9916
0.10363,-0.99473
0.10375,-0.99724
0.10387,-0.99914
